                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.60582,                0.63615,                  1.117,                0.57495,                0.85521,                0.70441,                0.52103,                 1.0317,                 1.0474,                 1.7458,             0.00059429,             0.00059429,             0.00059429
                     67,                0.64044,                0.65878,                  1.144,                0.63903,                  0.738,                0.69944,                0.52373,                0.99498,                 1.1762,                 1.6372,             0.00057778,             0.00057778,             0.00057778
                     68,                0.61022,                0.59377,                 1.1165,                0.57098,                0.76632,                0.70135,                 0.5421,                0.96637,                 1.2557,                 1.6568,             0.00056128,             0.00056128,             0.00056128
                     69,                0.60418,                0.58396,                 1.1192,                0.65286,                0.67249,                0.68891,                 0.5169,                0.96813,                 1.2734,                 1.6703,             0.00054478,             0.00054478,             0.00054478
                     70,                0.60933,                0.57599,                 1.1193,                0.66385,                0.79651,                0.74038,                0.54648,                0.98178,                 1.0601,                 1.6467,             0.00052827,             0.00052827,             0.00052827
                     71,                0.60493,                0.55886,                 1.1088,                0.66898,                0.70827,                0.71467,                0.52577,                0.99462,                  1.027,                 1.6707,             0.00051177,             0.00051177,             0.00051177
                     72,                0.62049,                0.59316,                 1.1268,                0.67549,                0.80174,                0.73664,                0.54966,                0.95752,                0.90975,                 1.6387,             0.00049527,             0.00049527,             0.00049527
                     73,                0.58564,                0.55844,                 1.1072,                 0.6596,                0.74618,                0.71763,                0.53677,                0.96861,                0.95673,                 1.6503,             0.00047876,             0.00047876,             0.00047876
                     74,                0.60218,                0.58711,                 1.1232,                0.60501,                0.75657,                0.69159,                0.50486,                  1.025,                 1.2231,                 1.7257,             0.00046226,             0.00046226,             0.00046226
                     75,                0.59842,                0.55781,                 1.1199,                0.72287,                0.69722,                0.74341,                0.54903,                0.99072,                0.98156,                 1.6953,             0.00044576,             0.00044576,             0.00044576
                     76,                0.59261,                0.55065,                 1.1184,                0.56635,                0.74211,                0.70862,                0.53549,                 1.0258,                 1.4491,                 1.7155,             0.00042925,             0.00042925,             0.00042925
                     77,                0.57388,                0.53574,                 1.1007,                0.71276,                0.72664,                0.75871,                0.57983,                  0.993,                 1.0371,                 1.6554,             0.00041275,             0.00041275,             0.00041275
                     78,                0.56826,                0.53549,                 1.0944,                0.62958,                0.78528,                0.71567,                0.53532,                 1.0091,                  1.165,                 1.7149,             0.00039625,             0.00039625,             0.00039625
                     79,                  0.591,                0.54894,                 1.1153,                 0.5592,                0.82037,                0.72502,                0.52314,                   1.03,                 1.1991,                 1.8136,             0.00037974,             0.00037974,             0.00037974
                     80,                0.58668,                0.53723,                 1.1088,                0.63494,                0.71309,                0.71842,                0.53373,                 1.0135,                 1.1894,                 1.7336,             0.00036324,             0.00036324,             0.00036324
                     81,                0.54912,                0.51702,                 1.0874,                0.56581,                0.78854,                0.70094,                  0.521,                   1.03,                 1.2449,                 1.7335,             0.00034674,             0.00034674,             0.00034674
                     82,                0.55414,                0.51534,                 1.0874,                0.62521,                0.78781,                0.73947,                0.55408,                 1.0087,                 1.0891,                 1.7233,             0.00033023,             0.00033023,             0.00033023
                     83,                0.56398,                0.50493,                 1.0881,                0.61671,                0.81989,                0.77417,                0.57513,                0.98314,                 1.1014,                 1.6806,             0.00031373,             0.00031373,             0.00031373
                     84,                0.53525,                0.50037,                 1.0776,                0.72943,                0.71583,                0.75877,                0.56256,                 1.0172,                 1.0482,                 1.7497,             0.00029723,             0.00029723,             0.00029723
                     85,                0.53897,                0.49451,                  1.077,                0.67057,                0.77577,                0.76798,                0.58259,                0.97017,                0.96959,                 1.7407,             0.00028072,             0.00028072,             0.00028072
                     86,                 0.5424,                0.49141,                 1.0761,                0.66769,                0.75299,                 0.7424,                 0.5618,                 1.0088,                 1.0624,                 1.7702,             0.00026422,             0.00026422,             0.00026422
                     87,                0.51431,                0.46213,                 1.0724,                0.64542,                0.78854,                0.75089,                0.55823,                 1.0048,                 1.0838,                 1.7925,             0.00024772,             0.00024772,             0.00024772
                     88,                0.53256,                0.47665,                  1.069,                 0.6626,                0.78004,                0.75762,                0.56045,                0.99653,                0.99074,                 1.7596,             0.00023121,             0.00023121,             0.00023121
                     89,                 0.5141,                 0.4545,                 1.0738,                  0.669,                0.70978,                0.72877,                 0.5442,                0.99781,                 1.0754,                 1.7811,             0.00021471,             0.00021471,             0.00021471
                     90,                0.51977,                0.47147,                 1.0642,                0.75352,                0.67951,                0.74455,                0.57379,                0.97435,                 1.0722,                 1.7524,             0.00019821,             0.00019821,             0.00019821
                     91,                0.37985,                0.34831,                 1.0038,                0.71332,                0.71457,                 0.7611,                0.56314,                 1.0098,                  1.046,                 1.7756,              0.0001817,              0.0001817,              0.0001817
                     92,                0.35782,                0.29438,                0.98359,                 0.6845,                0.72396,                0.75367,                0.55905,                 1.0037,                  1.084,                 1.7811,              0.0001652,              0.0001652,              0.0001652
                     93,                0.34939,                0.29759,                0.97732,                0.65861,                0.68316,                0.69449,                0.51211,                 1.0068,                 1.3214,                 1.7773,              0.0001487,              0.0001487,              0.0001487
                     94,                0.34476,                0.26694,                0.97168,                0.61706,                0.78555,                0.70912,                0.52855,                0.98163,                 1.2887,                 1.7508,             0.00013219,             0.00013219,             0.00013219
                     95,                0.33365,                0.26302,                0.96355,                 0.6049,                0.80379,                0.72924,                0.54308,                0.97218,                 1.2052,                 1.7594,             0.00011569,             0.00011569,             0.00011569
                     96,                0.32117,                0.25458,                0.94432,                0.62347,                0.73299,                0.71999,                0.54314,                 0.9864,                 1.3174,                 1.7628,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.31287,                0.25152,                0.93674,                0.62729,                0.76632,                 0.7299,                0.55997,                0.97617,                 1.2856,                 1.7648,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.31523,                0.25864,                0.94691,                0.66497,                0.73564,                0.75472,                0.57289,                0.98735,                 1.1601,                 1.7806,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.31547,                0.26166,                0.94706,                0.62306,                0.82188,                0.76677,                0.58541,                0.99267,                 1.1301,                 1.7914,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.30246,                0.25057,                0.93871,                0.62784,                0.81076,                 0.7649,                0.58469,                0.98373,                 1.1347,                 1.7849,             3.3173e-05,             3.3173e-05,             3.3173e-05
